scaffold,task,model_label,score_raw,score_numeric,score_semantics,cost_usd_raw,cost_usd_per_run,count_raw,count_semantics,k,comparator_cost_over_pi,comparator_count_over_pi,quality_vs_pi,exact_model,effort,input_tokens,cached_input_tokens,cache_write_tokens,output_tokens,reasoning_tokens,retries,tool_schema_fingerprint,source_cell
Hermes Agent,heat-2d,GPT,80,80,single-cell score; rubric/link absent,1.005,1.005000,30,requests (exact definition absent),1,3.180380,1.875000,higher,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Hermes Agent,heat-2d,Kimi,missing_in_screenshot,missing_in_screenshot,single-cell score; rubric/link absent,missing_in_screenshot,missing_in_screenshot,missing_in_screenshot,requests (exact definition absent),1,missing_in_screenshot,missing_in_screenshot,missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Claude Code,three-body,GPT,85,85,single-cell score; rubric/link absent,1.271,1.271000,37,requests (exact definition absent),1,4.323129,3.363636,equal,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Claude Code,three-body,Kimi,85,85,single-cell score; rubric/link absent,3.524,3.524000,47,requests (exact definition absent),1,3.121346,1.305556,higher,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Claude Code,heat-2d,GPT,15,15,single-cell score; rubric/link absent,1.591,1.591000,40,requests (exact definition absent),1,5.034810,2.500000,equal,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Claude Code,heat-2d,Kimi,15,15,single-cell score; rubric/link absent,2.110,2.110000,24,requests (exact definition absent),1,3.296875,2.000000,lower,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Codex,three-body,GPT,65,65,single-cell score; rubric/link absent,missing_in_screenshot,missing_in_screenshot,12,requests (exact definition absent),1,missing_in_screenshot,1.090909,lower,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Codex,three-body,Kimi,85,85,single-cell score; rubric/link absent,missing_in_screenshot,missing_in_screenshot,59,requests (exact definition absent),1,missing_in_screenshot,1.638889,higher,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Codex,heat-2d,GPT,30,30,single-cell score; rubric/link absent,missing_in_screenshot,missing_in_screenshot,19,requests (exact definition absent),1,missing_in_screenshot,1.187500,higher,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
Codex,heat-2d,Kimi,65,65,single-cell score; rubric/link absent,missing_in_screenshot,missing_in_screenshot,24,requests (exact definition absent),1,missing_in_screenshot,2.000000,higher,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
"Ouroboros old run, A6000, k=1",three-body,GPT,0F,0,single-cell score; rubric/link absent,1.562,1.562000,17,calls† (footnote absent),1,5.312925,1.545455,lower,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
"Ouroboros old run, A6000, k=1",three-body,Kimi,0F,0,single-cell score; rubric/link absent,1.596,1.596000,39,calls† (footnote absent),1,1.413640,1.083333,lower,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
"Ouroboros old run, A6000, k=1",heat-2d,GPT,0F,0,single-cell score; rubric/link absent,1.279,1.279000,15,calls† (footnote absent),1,4.047468,0.937500,lower,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
"Ouroboros old run, A6000, k=1",heat-2d,Kimi,35,35,single-cell score; rubric/link absent,1.765,1.765000,28,calls† (footnote absent),1,2.757812,2.333333,lower,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
"Ouroboros fixed run, H200, k=5",three-body,GPT,80,80,aggregate success percent (parenthetical 4/5 or 5/5 in screenshot),26.613,5.322600,205,calls† (footnote absent),5,18.104082,3.727273,lower,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
"Ouroboros fixed run, H200, k=5",three-body,Kimi,100,100,aggregate success percent (parenthetical 4/5 or 5/5 in screenshot),16.442,3.288400,203,calls† (footnote absent),5,2.912666,1.127778,higher,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
"Ouroboros fixed run, H200, k=5",heat-2d,GPT,100,100,aggregate success percent (parenthetical 4/5 or 5/5 in screenshot),19.032,3.806400,129,calls† (footnote absent),5,12.045570,1.612500,higher,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
"Ouroboros fixed run, H200, k=5",heat-2d,Kimi,80,80,aggregate success percent (parenthetical 4/5 or 5/5 in screenshot),10.610,2.122000,144,calls† (footnote absent),5,3.315625,2.400000,higher,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,photo_20260823_132145_158488.jpg
