id	source	their_rule	our_state	verdict
C2	visualize.css	Каждый токен объявлен один раз на обе темы через light-dark()	п.4, перенесено дословно	ЕСТЬ
C3	visualize.css	:root[data-theme=light|dark] — ручной оверрайд системной темы	не упомянуто	НЕТ
C4	visualize.css	Закрытый именованный набор кеглей: base 14px, normal/tooltip/small/h1/h2/h3, нижний предел max(11px, …)	«--fs: 15px, дальше calc(var(--fs) * 1.72 / 1.43 / 1.29)» — коэффициенты есть, набор не закрыт, нижнего предела нет	РАЗМЫТО
C5	visualize.css	Веса 430/500 и три интерлиньяжа (1.5 / 1.43 / +4px) отдельными токенами	не упомянуто	НЕТ
C6	visualize.css	Ритм отступов на 2px-сетке: 2,3,4,5,6,8,10,12,16,24; высоты контролов 14/16/20/26/28/72	не упомянуто	НЕТ
C7	visualize.css	Радиусы от базы 12.5px: sm .6 / md .8 / lg 1 / 2xl 1.6 / full 9999px + corner-shape superellipse(1.5)	«Радиусы из одного --radius: calc(var(--radius) * .6 / .8 / 1)» — три ступени из пяти, базы нет, superellipse нет	РАЗМЫТО
C8	visualize.css	Одна тень на файл (--shadow-sm: 0 1px 2px -1px rgb(0 0 0 / 8%)); 9 из 12 box-shadow — фокусные кольца	«Тень — состояние, не украшение… максимум одна слабая тень на всё» — значения нет	РАЗМЫТО
C9	visualize.css	Палитра серий: 6 тонов, у каждого своя пара для светлой и тёмной темы	«6 различимых тонов, разнесённых по кругу, каждый для обеих тем» — значений нет	РАЗМЫТО
C10	visualize.css	:focus-visible двумя приёмами по типу элемента: inset-кольцо для полей, outline 2px + offset 2px для кнопок	один приём: «outline: none; box-shadow: inset 0 0 0 1px var(--ring)»	РАЗМЫТО
C11	visualize.css	Состояние «выбрано» отдельно от фокуса, через [aria-pressed=true] / [aria-selected=true]	не упомянуто	НЕТ
C12	visualize.css	.sr-only для скринридера	не упомянуто	НЕТ
C13	visualize.css	Таблица как компонент: линии только снизу, последняя строка без линии, шапка контрастнее (16%), tabular-nums в числовых колонках, .table-sm, горизонтальная прокрутка на узком	не упомянуто вовсе	НЕТ
C14	visualize.css	Тултип: fixed, max-width min(20rem, …), --popover фоном, без тени, pointer-events none	не упомянуто	НЕТ
C15	visualize.css	Инлайн-код: box-decoration-break clone, чтобы фон не рвался на переносе	не упомянуто	НЕТ
C16	visualize.css	Стрелка селекта двумя linear-gradient 4×4px — без картинки и без SVG	не упомянуто	НЕТ
C17	visualize.css	svg { display: block; max-width: 100%; height: auto } глобально	не упомянуто	НЕТ
C18	visualize.css	Сетка карточек repeat(auto-fit, minmax(max(180px, 24%), 1fr))	«сетки auto-fit + minmax» без значений	РАЗМЫТО
C19	visualize.css	Бейдж: radius full, фон --accent, текст --accent-foreground, мелкий кегль	не упомянуто	НЕТ
C20	visualize.css	#widget > :not(.card) машинно сбрасывает рамки/фон/тени у не-карточек	правило D13 у нас только текстом, механизма нет	РАЗМЫТО
